no_of_face,face_x,face_y,face_w,face_h,face_con,no_of_hand,pose,pose_x,pose_y,phone,phone_x,phone_y,phone_w,phone_h,phone_con,label
1,323.9847183,273.8921356,146.1661148,146.166029,91.43375158,0,forward,22.82878243,6.556693965,0,0,0,0,0,0,1
1,155.2166367,185.0780702,364.3220901,364.296484,69.42127943,1,down,-15,10,0,0,0,0,0,0,1
1,251.9701576,204.2641354,117.1013832,117.1017551,85.34634709,1,forward,12.51063934,14.4510946,1,160,214,265,351,0.743574739,1
1,292.0257378,312.5031567,143.0737877,143.0739212,75.21107793,0,forward,-2.161615754,-9.177810425,0,0,0,0,0,0,1
1,236.1136818,270.7981968,127.0203972,127.0204067,96.47610784,0,forward,12.47738661,14.54167366,1,228,410,328,480,0.861559272,1
1,187.3611259,175.7660365,334.9291229,334.8787022,54.29729819,1,down,-15,10,0,0,0,0,0,0,1
1,163.5186577,139.0989185,335.2516174,335.2109241,68.63851547,1,down,-15,10,0,0,0,0,0,0,1
1,171.5332794,134.5431924,316.3515472,316.2999058,64.12614584,1,down,-15,10,0,0,0,0,0,0,1
1,176.4147377,178.0711484,331.5797424,331.5336227,67.20285416,1,down,-15,10,0,0,0,0,0,0,1
1,181.8730927,151.8221736,312.2441101,312.1952534,68.83267164,1,down,-15,10,0,0,0,0,0,0,1
1,205.099926,229.2937374,147.8092003,147.8092289,88.50951791,0,forward,12.40536546,11.17423509,1,0,241,150,476,0.67837429,1
1,205.9039307,161.7391992,254.4342041,254.4044209,55.94104528,1,down,-15,10,0,0,0,0,0,0,1
2,259.5446777,214.4078278,143.4070587,143.4058857,57.79474378,2,down,-15,10,0,0,0,0,0,0,1
1,260.5078697,241.5202689,176.2445641,176.237011,73.51412177,1,down,-10.65913986,-1.96133311,0,0,0,0,0,0,1
1,259.9161148,250.7801604,164.3437195,164.3427658,80.38823009,1,down,-15,10,0,0,0,0,0,0,1
0,0,0,0,0,0,1,down,-15,10,0,0,0,0,0,0,1
1,245.1273918,255.5940652,129.4483757,129.4482136,94.42943931,1,forward,12.35131681,0.273356305,0,0,0,0,0,0,0
1,303.4313965,219.0210342,131.0981369,131.09828,94.19787526,1,forward,12.28989199,-6.377677054,1,404,298,524,443,0.823889077,1
1,215.0533867,224.9157548,159.5070076,159.5067787,89.23007846,2,left,-1.835156193,-14.39331441,0,0,0,0,0,0,1
1,231.0437775,240.553453,158.9748001,158.9746284,88.58228922,2,right,3.46654195,16.29883955,0,0,0,0,0,0,1
1,318.8097382,279.8734188,128.0896759,128.0894852,66.95125699,0,forward,7.847823598,14.35077289,0,0,0,0,0,0,1
1,282.2234917,250.3390718,155.4628944,155.4607201,67.77986288,2,down,-15,10,0,0,0,0,0,0,1
1,279.3572044,232.5339102,146.1863899,146.1847687,67.62198806,2,down,-15,10,0,0,0,0,0,0,1
1,192.3815727,157.1916842,320.6093597,320.5778503,68.15600991,2,down,-15,10,0,0,0,0,0,0,1
1,185.2237511,162.9744339,324.3356323,324.2854786,58.88078809,2,down,-15,10,0,0,0,0,0,0,1
1,280.1866531,239.2569518,157.8289795,157.8267002,65.36955237,2,down,-15,10,0,0,0,0,0,0,1
1,274.5193291,262.1875763,174.5670891,174.5625687,87.28123903,2,down,-15,10,0,0,0,0,0,0,1
1,255.1047325,210.6959152,125.6150627,125.6154156,92.35388637,0,forward,12.1892916,14.06563087,1,118,298,244,479,0.917952776,1
1,316.2619781,278.9557171,157.6478958,157.6480293,91.77173972,0,forward,7.018687925,13.15907388,0,0,0,0,0,0,1
1,210.1402664,159.4880366,282.4269867,282.3929214,54.47550416,2,down,-15,10,0,0,0,0,0,0,1
1,189.7109222,144.8654532,311.1946487,311.1499786,71.15486264,2,down,-14.47009224,-2.491296317,0,0,0,0,0,0,1
2,186.8319511,138.6903834,321.6651917,321.6530514,59.15650725,2,down,-14.25643137,-1.698444898,0,0,0,0,0,0,1
1,219.678154,186.6606832,305.378952,305.3353214,52.6348114,2,down,-15,10,0,0,0,0,0,0,1
1,191.5208435,155.2208495,308.4077835,308.3629417,63.0456686,2,down,-15,10,0,0,0,0,0,0,1
1,281.3128281,270.1898861,176.0906601,176.0850334,82.06927776,2,left,-5.746798121,-10.3785657,0,0,0,0,0,0,1
1,338.6128616,328.1070065,162.7495956,162.7482319,72.66611457,2,down,-15,10,0,0,0,0,0,0,1
1,359.9925232,340.9332252,155.38517,155.3845596,78.23076248,2,down,-15,10,0,0,0,0,0,0,1
1,337.5178146,328.4551239,170.0548553,170.0494194,70.28627992,2,down,-15,10,0,0,0,0,0,0,1
1,303.1140518,296.0889888,166.0990524,166.0985184,79.50659394,2,left,-0.334646946,-15.83660518,0,0,0,0,0,0,1
1,315.2159691,337.0993149,155.0726891,155.0725222,86.14897132,0,forward,0.435977839,-2.399024749,0,0,0,0,0,0,0
1,185.5719376,168.5581279,143.3369064,143.3369637,89.18699622,2,right,6.120797837,18.72669044,0,0,0,0,0,0,1
1,303.3209801,307.7038193,125.7135963,125.7136059,87.22462058,1,forward,11.97566762,1.056632587,0,0,0,0,0,0,0
1,314.7139359,304.0927792,131.2174606,131.2173843,74.92681742,0,forward,3.068930333,-9.59642869,0,0,0,0,0,0,0
1,245.4751778,284.4878543,188.1789207,188.1721687,65.93332291,2,down,-15,10,0,0,0,0,0,0,1
1,254.6940231,295.1191973,187.5182343,187.5105858,75.97158551,2,down,-15,10,0,0,0,0,0,0,1
1,238.4658623,271.7695391,164.4348717,164.4346333,77.98554301,1,down,-15,10,0,0,0,0,0,0,1
1,251.1568069,275.33082,176.8806458,176.880455,71.17130756,1,down,-15,10,0,0,0,0,0,0,1
1,247.1766853,270.588994,171.3249779,171.3245058,65.70802927,1,down,-15,10,0,0,0,0,0,0,1
1,314.4485092,279.3754292,160.5695343,160.5695915,92.34842062,0,forward,5.804167864,2.803790849,0,0,0,0,0,0,0
1,314.1122246,277.5123882,159.872036,159.8720169,87.59086728,0,forward,8.622726804,-9.877382882,0,0,0,0,0,0,0
1,268.2861328,274.5624018,171.071434,171.0712767,76.14126205,2,down,-15,10,0,0,0,0,0,0,1
1,274.919014,276.7145992,161.3376617,161.337347,66.35481715,2,down,-15,10,0,0,0,0,0,0,1
1,270.319767,274.9656892,164.1430855,164.1428375,81.64463043,2,down,-15,10,0,0,0,0,0,0,1
1,287.9247284,321.081903,181.9703674,181.9634628,81.04378581,2,down,-15,10,0,0,0,0,0,0,1
1,38.43805313,22.20424414,359.6504211,359.5902443,51.98383927,1,down,-15,10,0,0,0,0,0,0,1
1,178.5900497,217.9681825,354.4391632,354.4092751,65.59265852,2,down,-15,10,0,0,0,0,0,0,1
1,142.0466709,173.5704338,429.1994858,429.1963291,61.82053089,2,down,-15,10,0,0,0,0,0,0,1
1,146.614933,212.4959016,406.1422729,406.1588001,57.62739778,2,down,-15,10,0,0,0,0,0,0,1
1,146.614933,212.4959016,406.1422729,406.1588001,57.62739778,2,down,-15,10,0,0,0,0,0,0,1
1,233.9868736,266.1931157,234.3598366,234.3367195,54.12819386,1,down,-15,10,0,0,0,0,0,0,1
1,212.9707146,254.5780492,271.5676308,271.5376282,50.38234591,0,down,-15,10,0,0,0,0,0,0,1
1,180.697155,286.5659046,486.3272095,486.349926,52.44137049,0,down,-15,10,0,0,0,0,0,0,1
1,189.8995018,226.7255986,343.1542969,343.0970192,54.20492887,0,down,-15,10,0,0,0,0,0,0,1
1,180.6090736,222.5234675,378.6771393,378.6704063,64.48671818,0,down,-15,10,0,0,0,0,0,0,1
0,0,0,0,0,0,0,down,-15,10,0,0,0,0,0,0,1
1,197.5941849,231.480881,350.4349899,350.4031849,59.77237225,0,down,-15,10,0,0,0,0,0,0,1
1,179.9767303,223.2515692,367.8927612,367.8663254,62.81141639,0,down,-15,10,0,0,0,0,0,0,1
1,192.4207878,230.0753403,346.8271637,346.7696285,53.85735035,0,down,-15,10,0,0,0,0,0,0,1
0,0,0,0,0,0,0,down,-15,10,0,0,0,0,0,0,1
1,190.5361938,279.8253154,403.9602661,403.9610481,52.83843875,0,down,-15,10,0,0,0,0,0,0,1
1,196.6320992,226.6137565,348.884201,348.8269615,54.73904014,0,down,-15,10,0,0,0,0,0,0,1
1,161.7331886,208.2592582,387.0212555,387.0176411,62.98521757,0,down,-15,10,0,0,0,0,0,0,1
0,0,0,0,0,0,2,down,-15,10,0,0,0,0,0,0,1
1,142.2457314,120.1293088,331.9224548,331.8970585,58.93357992,0,down,-15,10,0,0,0,0,0,0,1
0,0,0,0,0,0,1,down,-15,10,0,0,0,0,0,0,1
0,0,0,0,0,0,1,down,-15,10,0,0,0,0,0,0,1
0,0,0,0,0,0,1,down,-15,10,0,0,0,0,0,0,1
1,130.5083084,182.190156,399.7416306,399.7307968,53.13239098,1,down,-15,10,0,0,0,0,0,0,1
1,170.392437,220.3607929,143.170433,143.1703949,53.59743834,1,down,-15,10,0,0,0,0,0,0,1
0,0,0,0,0,0,1,down,-15,10,0,0,0,0,0,0,1
1,93.30706596,143.6002016,454.4408798,454.4570732,57.91184902,1,down,-15,10,0,0,0,0,0,0,1
0,0,0,0,0,0,1,down,-15,10,0,0,0,0,0,0,1
1,144.1887856,155.4966426,367.6311493,367.6062584,59.50395465,1,down,-15,10,0,0,0,0,0,0,1
1,172.0971107,205.1306676,427.3864746,427.348423,60.28401256,1,down,-15,10,0,0,0,0,0,0,1
1,196.3588524,206.8134022,371.5617371,371.5607643,55.18431067,1,down,-15,10,0,0,0,0,0,0,1
1,164.2083549,176.3980221,401.4108276,401.3863277,60.2784574,1,down,-15,10,0,0,0,0,0,0,1
1,163.6260986,164.6464753,381.545372,381.5159798,66.5795505,1,down,-15,10,0,0,0,0,0,0,1
1,290.4345703,321.3038421,169.0092087,169.0047455,78.54213715,1,left,3.458248704,-15.35114466,0,0,0,0,0,0,1
1,309.9449158,327.2997451,178.8538361,178.8465214,81.47261739,1,left,1.545380477,-15.93906486,0,0,0,0,0,0,1
1,336.6421509,353.7795711,169.7234344,169.7176266,88.97032738,1,left,6.929989877,-20.44745071,0,0,0,0,0,0,1
1,300.0404358,298.9915562,154.443779,154.4436264,76.85203552,1,left,1.545703241,-14.58862154,0,0,0,0,0,0,1
1,342.0482254,361.8817377,174.0658951,174.0599585,81.76342249,1,down,-15,10,0,0,0,0,0,0,1
1,341.20121,357.5037694,164.194603,164.1896152,78.60870957,1,down,-15,10,0,0,0,0,0,0,1
1,327.8390121,353.3090221,178.1341553,178.1279325,73.08377624,0,down,-15,10,0,0,0,0,0,0,1
1,345.9194565,363.5865879,167.3021317,167.2968006,75.79835057,0,down,-15,10,0,0,0,0,0,0,1
1,326.7463684,287.2363496,150.03582,150.0347614,80.83534837,0,down,-15,10,0,0,0,0,0,0,1
1,332.0423508,285.2075982,137.4685287,137.4680328,84.10521746,0,down,-15,10,0,0,0,0,0,0,1
1,325.776062,286.0728955,141.1087418,141.1084843,75.27131438,0,down,-15,10,0,0,0,0,0,0,1
2,325.776062,286.0728955,141.1087418,141.1084843,75.27131438,0,down,-15,10,0,0,0,0,0,0,1
1,315.9264374,260.5188871,141.5242386,141.5229893,78.47013474,0,down,-15,10,0,0,0,0,0,0,1
1,302.9323006,278.4474159,173.5846901,173.5820389,70.55190802,0,down,-15,10,0,0,0,0,0,0,1
1,324.3048477,339.3966651,173.3512115,173.3428574,74.3501246,1,left,2.108056356,-21.18066869,0,0,0,0,0,0,1
2,324.3048477,339.3966651,173.3512115,173.3428574,74.3501246,1,left,2.108056356,-21.18066869,0,0,0,0,0,0,1
1,312.9054832,274.1395283,161.3749123,161.3749695,92.18702316,0,forward,9.220920901,3.857993257,0,0,0,0,0,0,0
1,312.5107956,278.6885834,160.0159454,160.0157833,90.30808806,0,forward,9.19300671,-5.547434472,0,0,0,0,0,0,0
0,0,0,0,0,0,0,forward,11.71479801,2.774101492,0,0,0,0,0,0,1
1,221.713028,241.2521911,161.9854355,161.9852543,91.2592113,1,right,5.193494037,16.81779182,0,0,0,0,0,0,1
1,218.1114006,240.9216464,170.5844688,170.5801105,93.29337478,1,right,6.170076805,16.71079353,0,0,0,0,0,0,1
1,219.9806213,232.0393037,156.0106277,156.0103655,92.31595993,1,right,3.986294717,16.81684146,0,0,0,0,0,0,1
1,230.2308655,222.0473957,158.4803009,158.4800434,79.17131782,1,down,-15,10,0,0,0,0,0,0,1
1,178.7870598,124.4606757,305.0621605,305.0270462,56.813097,1,down,-15,10,0,0,0,0,0,0,1
1,282.2129822,228.9943719,125.036087,125.0343704,72.91171551,0,down,-15,10,0,0,0,0,0,0,1
1,312.4947929,277.5345325,159.1735268,159.1735268,91.77854061,0,forward,7.228069957,3.044242302,0,0,0,0,0,0,0
1,273.5753632,254.5959735,154.5730591,154.5722294,85.6441319,0,down,-15,10,0,0,0,0,0,0,1
1,275.8853722,229.8513484,157.0044899,157.0020103,65.98465443,1,down,-15,10,0,0,0,0,0,0,1
1,312.2071838,281.7327404,159.4850159,159.4850349,91.55221581,0,forward,5.192607148,2.852159615,0,0,0,0,0,0,0
1,274.341507,227.0060754,124.0760803,124.0752697,60.07426977,1,down,-15,10,0,0,0,0,0,0,1
1,208.5053444,182.7213836,256.7816734,256.7551231,57.96801448,0,down,-15,10,0,0,0,0,0,0,1
1,267.7140617,229.9195981,135.0393105,135.0386238,79.15307283,0,down,-14.69691492,-6.000462969,0,0,0,0,0,0,1
1,261.8496704,225.4407215,146.4724731,146.4721584,87.55536675,0,down,-15,10,0,0,0,0,0,0,1
1,266.4278221,241.6712117,149.4089699,149.4083691,88.41374516,0,down,-15,10,0,0,0,0,0,0,1
1,265.6292343,253.0419421,179.1937256,179.1845226,76.66422725,0,down,-12.63820691,-4.207822899,0,0,0,0,0,0,1
1,269.4087601,252.3405767,158.9093781,158.9088821,68.1558907,0,down,-15,10,0,0,0,0,0,0,1
1,269.4087601,252.3405767,158.9093781,158.9088821,68.1558907,0,down,-15,10,0,0,0,0,0,0,1
1,270.3510475,247.1701169,152.4818611,152.47962,66.83220863,0,down,-15,10,0,0,0,0,0,0,1
1,264.8330688,260.0286674,195.6481171,195.6375217,69.29309368,0,down,-15,10,0,0,0,0,0,0,1
1,268.8888168,257.9338455,149.1845322,149.1844368,82.37794638,0,down,-15,10,0,0,0,0,0,0,1
1,247.3301506,282.9516745,144.8562813,144.8564816,69.9483633,0,down,-15,10,0,0,0,0,0,0,1
1,226.0759544,251.8211054,151.2382317,151.2382221,80.01400828,0,right,13.93741588,18.24829711,0,0,0,0,0,0,1
1,224.4888306,246.865871,150.4283524,150.4282093,88.47395182,0,right,13.13686792,17.42367585,0,0,0,0,0,0,1
1,220.8497429,258.8076425,162.5303841,162.5302505,66.65959954,0,right,13.06150253,18.94792618,0,0,0,0,0,0,1
1,217.1992111,241.4380371,148.9640427,148.9639521,81.87514544,0,right,9.63021555,16.82638761,0,0,0,0,0,0,1
1,209.4157028,234.2957306,155.9630585,155.9631443,85.02868414,0,right,10.9583715,19.00648332,0,0,0,0,0,0,1
1,305.5145264,217.5418568,126.3251114,126.325407,95.25706768,0,forward,11.55435923,-5.944326345,1,400,301,513,445,0.798437595,1
0,0,0,0,0,0,0,down,-15,10,1,500,124,640,463,0.861691117,1
0,0,0,0,0,0,1,down,-15,10,1,484,127,622,429,0.846732497,1
1,311.8123627,276.0033131,168.4371185,168.432827,90.57267904,0,forward,8.34018604,-9.01896463,0,0,0,0,0,0,0
1,224.4549751,235.1494145,125.1747322,125.1749754,93.56004596,2,forward,11.51205239,7.751178392,0,0,0,0,0,0,0
1,311.5774536,281.5543842,160.8730316,160.8729172,91.43069386,0,forward,7.054052041,3.302011498,0,0,0,0,0,0,0
1,311.3356209,275.7277966,160.2893257,160.2893829,93.28840375,0,forward,10.92342033,3.622709913,0,0,0,0,0,0,0
1,310.7754326,279.6481991,148.006382,148.0063248,91.66461229,0,forward,6.568565727,0.53818853,0,0,0,0,0,0,0
2,275.8406448,261.9907689,159.5284653,159.5282364,91.69840813,2,forward,11.43011826,-2.328401712,1,133,221,334,477,0.897330225,1
1,310.3007889,283.9379883,157.5656509,157.5654888,90.35394788,0,forward,7.100773567,3.505315772,0,0,0,0,0,0,0
1,220.7417488,227.9951858,131.367054,131.3672161,92.74962544,2,forward,11.38111174,12.08975635,0,0,0,0,0,0,0
1,323.0863953,274.9562073,157.7695084,157.769537,89.26727176,1,forward,11.36982809,-0.278013888,0,0,0,0,0,0,0
1,285.7687759,238.3064461,144.4288635,144.4291878,89.5860076,0,forward,11.36500131,14.44511076,1,52,243,170,424,0.650696337,1
1,217.8260231,111.5850472,129.0178871,129.0177727,94.96766925,0,forward,11.33712301,-4.953230799,1,0,97,156,409,0.738924503,1
1,310.2548599,275.1027584,177.3582458,177.3512077,90.99882841,0,forward,1.467602461,-3.560914996,0,0,0,0,0,0,0
2,252.511425,144.9009633,147.2786903,147.2785378,91.02263451,2,forward,11.31094206,-1.59118944,0,0,0,0,0,0,1
1,310.2490425,281.1821365,158.2221413,158.2220936,92.58202314,0,forward,5.422774075,11.1647365,0,0,0,0,0,0,0
1,243.8811111,134.9553227,148.8018799,148.8018036,91.74332619,1,forward,11.27385187,-0.138405555,0,0,0,0,0,0,0
0,0,0,0,0,0,0,down,-15,10,1,471,84,637,384,0.796549916,1
1,261.9633865,189.2855572,158.5214996,158.5214996,92.22706556,0,forward,11.25466711,-4.960455124,1,145,252,307,480,0.882015705,1
1,310.2180481,298.3476925,175.2316284,175.2311897,91.52620435,0,forward,6.428137337,-1.586876464,0,0,0,0,0,0,0
1,254.5114136,261.0566402,125.5687714,125.5687952,92.00797081,1,forward,11.21207899,-1.13931951,0,0,0,0,0,0,0
1,309.5611763,281.998558,161.1676979,161.1676311,90.95549583,0,forward,6.769917123,4.428723762,0,0,0,0,0,0,0
1,316.3270378,362.4654853,160.3088188,160.3088951,75.9398818,1,left,11.5308191,-11.26719133,0,0,0,0,0,0,1
1,325.8161545,369.445138,169.1202545,169.1139364,73.34759831,1,left,10.84367222,-12.38548373,0,0,0,0,0,0,1
1,326.6386414,367.4226273,182.7674484,182.7541208,71.43348455,1,left,11.39669166,-12.83969617,0,0,0,0,0,0,1
1,340.3809357,344.581883,166.3717651,166.3716316,89.15878534,0,left,5.31278566,-12.90518036,0,0,0,0,0,0,1
1,320.1191711,320.1289773,183.5028076,183.496685,85.19785404,0,left,3.523983964,-12.5612874,0,0,0,0,0,0,1
1,307.1159744,309.6612835,200.8901215,200.8756256,67.75084734,0,left,6.334787774,-14.51017626,0,0,0,0,0,0,1
1,327.0119095,265.0791669,197.9629135,197.9520607,66.62640572,0,down,-15,10,0,0,0,0,0,0,1
1,340.3691101,307.6175714,172.2816086,172.2771835,89.35303688,0,left,7.364076382,-13.59741236,0,0,0,0,0,0,1
1,341.2318802,312.3798728,167.6578903,167.6542282,91.32146239,1,left,10.9776186,-16.9750946,0,0,0,0,0,0,1
1,342.9682922,318.2149148,175.1922989,175.1865005,85.91908216,1,left,7.846497185,-17.54891134,0,0,0,0,0,0,1
1,340.9208679,324.0736842,176.4023209,176.3990307,93.78685951,1,left,9.337001619,-17.75769828,0,0,0,0,0,0,1
1,342.5793076,329.7046829,177.0357513,177.0313454,90.63454866,1,left,8.567539102,-16.03636342,0,0,0,0,0,0,1
1,349.0539551,337.7791572,181.1315918,181.1277008,92.47947931,1,left,8.270518087,-17.64960532,0,0,0,0,0,0,1
1,344.7200775,338.7308693,186.8756866,186.8708324,91.16219878,1,left,9.298788028,-17.68058361,0,0,0,0,0,0,1
1,350.8741379,344.4500041,181.4285278,181.4237309,91.45858288,1,left,9.737709229,-18.55851217,0,0,0,0,0,0,1
1,349.6764755,346.7029357,181.3705063,181.3650227,90.26763439,1,left,10.39750474,-20.16114731,0,0,0,0,0,0,1
1,347.9647827,341.9170594,182.5698853,182.5650787,92.19511747,1,left,11.49822461,-19.38380114,0,0,0,0,0,0,1
1,348.763504,347.5382995,186.5991592,186.5900517,87.21809983,1,left,10.27336248,-18.79179787,0,0,0,0,0,0,1
1,354.6197891,345.8253264,173.5181427,173.5145187,93.06881428,1,left,9.705157391,-18.56098258,0,0,0,0,0,0,1
1,351.500473,340.5845547,172.112236,172.1081543,90.1873827,1,left,11.94010124,-18.28995278,0,0,0,0,0,0,1
1,353.8616943,339.2041015,169.8817444,169.8782158,91.152215,1,left,9.565300294,-18.28520271,0,0,0,0,0,0,1
1,351.7352295,343.7036014,172.9789352,172.9753017,91.95035696,1,left,11.2833934,-17.87450273,0,0,0,0,0,0,1
1,356.7183685,350.87224,169.6941376,169.6939659,91.46704078,1,left,11.74327788,-18.90133408,0,0,0,0,0,0,1
1,356.4694977,348.2609439,160.2659225,160.2657223,87.57427931,0,left,11.25112918,-17.14612477,0,0,0,0,0,0,1
1,217.1040344,227.3606872,132.8819656,132.8821564,91.45196676,2,forward,11.16486464,13.67714225,0,0,0,0,0,0,1
1,261.5584564,215.1841855,140.8244324,140.8239269,61.65782213,1,down,-15,10,0,0,0,0,0,0,1
1,261.5584564,215.1841855,140.8244324,140.8239269,61.65782213,1,down,-15,10,0,0,0,0,0,0,1
1,203.5420799,127.7225613,267.9496193,267.9121685,65.56388736,1,down,-15,10,0,0,0,0,0,0,1
1,241.9026566,187.7294946,234.2775345,234.2523193,68.56874824,1,down,-15,10,0,0,0,0,0,0,1
1,191.4316368,135.7538056,310.7111931,310.6610298,72.35298753,1,down,-15,10,0,0,0,0,0,0,1
