no_of_face,face_x,face_y,face_w,face_h,face_con,no_of_hand,pose,pose_x,pose_y,phone,phone_x,phone_y,phone_w,phone_h,phone_con,label
1,256.6436577,144.1636634,169.071331,169.0666008,88.81331682,0,down,-11.56969777,-1.612015379,0,0,0,0,0,0,1
1,252.9670143,137.8716588,163.1315422,163.1269741,86.70405746,0,down,-15,10,0,0,0,0,0,0,1
1,254.4167709,134.4279503,155.1473618,155.1458359,88.40879202,0,down,-12.70595318,0.082977691,0,0,0,0,0,0,1
2,256.3155174,246.1997628,141.2270546,141.2272167,89.27949071,2,right,32.5856814,36.5727997,1,117,137,276,421,0.866140246,1
1,293.0001259,285.8595634,197.0115089,196.9986534,80.87230921,2,forward,-4.013084616,-9.905691726,0,0,0,0,0,0,1
1,430.2416229,177.8934192,126.7193985,126.7188835,68.32924485,0,forward,6.472188586,4.480844583,0,0,0,0,0,0,0
1,307.5291252,210.028131,162.7275658,162.72686,88.88115883,0,left,3.737665054,-14.4323517,0,0,0,0,0,0,1
1,364.7952652,272.8007674,163.4613037,163.4574223,90.32462835,0,down,-15,10,0,0,0,0,0,0,1
1,376.3352585,274.3850875,164.5324326,164.5310211,91.50939584,0,down,-15,10,0,0,0,0,0,0,1
1,367.1687698,270.843184,150.267334,150.2670193,82.09765553,0,down,-15,10,0,0,0,0,0,0,1
1,327.514801,227.4041676,168.290863,168.2875729,91.01359248,0,left,13.90379033,-27.12875354,0,0,0,0,0,0,1
1,322.5762558,314.3186641,185.6764221,185.6692028,87.31675744,2,forward,-0.700951355,-9.837588981,0,0,0,0,0,0,1
1,322.6099777,315.6462693,193.6331177,193.6261368,80.22138476,2,forward,-2.126402533,-9.712233851,0,0,0,0,0,0,1
1,197.2052765,94.1130281,147.0975113,147.0976067,94.23794746,0,left,5.340034749,-18.59286323,0,0,0,0,0,0,1
1,181.299572,73.8530326,148.477993,148.4781361,95.2962935,0,left,6.655425593,-12.46533822,0,0,0,0,0,0,1
1,201.6297913,100.5631614,150.5878067,150.588026,91.09025598,0,down,-15,10,0,0,0,0,0,0,1
1,326.690712,350.449555,192.7589035,192.7468872,78.75605822,1,forward,-1.95228553,-9.530385314,0,0,0,0,0,0,1
0,0,0,0,0,0,0,forward,20.49363552,5.990960639,0,0,0,0,0,0,1
1,267.7589798,212.6397061,177.611084,177.6039791,90.2556181,0,forward,-7.314136672,-9.482076378,0,0,0,0,0,0,1
1,234.0969849,227.1965218,130.7591629,130.7595634,97.24322557,0,forward,19.61833564,13.21511495,1,211,345,353,479,0.848811209,1
0,0,0,0,0,0,0,forward,-1.172964532,-9.456637366,0,0,0,0,0,0,1
1,319.0962601,313.9785838,186.2440109,186.2371731,90.63378572,2,forward,-2.659787427,-9.413823296,0,0,0,0,0,0,1
1,251.5807533,195.3240108,108.7462425,108.7463093,83.08486938,1,forward,17.70262847,10.65835316,1,164,216,269,353,0.809066176,1
1,267.9320908,134.564991,214.0361023,214.0195942,73.80071282,1,down,-15,10,1,152,286,308,480,0.776727438,1
1,280.0128174,139.9908924,213.6531448,213.6325836,78.39295268,1,down,-10.97022448,-1.647082249,1,155,286,306,480,0.855212212,1
1,267.7397156,114.9438954,238.8236237,238.8015747,67.8104341,1,down,-12.32019182,-4.586645422,1,162,286,306,480,0.880103588,1
1,418.1622696,291.1026764,136.7992401,136.7997265,93.59384179,0,forward,11.79147604,14.52269313,0,0,0,0,0,0,1
0,0,0,0,0,0,0,forward,16.3483729,11.28469354,0,0,0,0,0,0,1
1,284.3384552,284.3156314,197.2534943,197.2411823,74.74665642,1,forward,-0.537813287,-9.36070509,0,0,0,0,0,0,1
1,254.6493912,214.3029094,167.1203232,167.1156979,86.89900041,0,forward,-6.456561553,-9.357398079,0,0,0,0,0,0,1
1,250.229702,211.3710308,115.3806114,115.3808784,88.02418709,1,forward,15.78382922,10.61357398,1,162,217,263,345,0.822731078,1
1,302.6999664,279.5983577,183.5758209,183.5680676,89.27946091,1,forward,-2.376159123,-9.340425165,0,0,0,0,0,0,1
1,268.6313057,155.2046418,158.2446098,158.2376575,73.00756574,0,down,-15,10,0,0,0,0,0,0,1
1,297.7126122,322.6682139,188.6251259,188.6130667,85.96873283,1,forward,-0.736999057,-9.189936622,0,0,0,0,0,0,1
1,365.0859451,267.6816845,150.2278519,150.2280235,96.51893973,0,forward,2.679743493,-7.07898019,0,0,0,0,0,0,0
1,184.5860481,176.082201,202.2384453,202.1914673,56.78470135,0,forward,14.6013296,13.77556959,1,0,250,106,479,0.832020044,1
1,258.2159042,209.7706604,115.5056763,115.5060196,74.3239522,1,forward,14.56774978,8.079802633,0,0,0,0,0,0,0
0,0,0,0,0,0,0,forward,14.51613441,13.84048747,0,0,0,0,0,0,1
1,344.342308,229.2509365,161.774025,161.7737961,91.95827842,0,forward,10.71470616,-9.522123391,0,0,0,0,0,0,0
1,181.3764763,253.024292,125.9025574,125.9022617,53.19463015,0,forward,14.26983819,13.65221808,1,0,256,140,468,0.807937622,1
1,343.6001587,269.0542316,131.1014938,131.101799,81.53139353,0,forward,9.872649832,5.528952647,0,0,0,0,0,0,0
1,343.4912872,262.0362568,133.2242203,133.2244492,96.7594862,0,forward,10.01896082,-1.234957631,0,0,0,0,0,0,0
0,0,0,0,0,0,0,forward,13.7154801,-3.645336857,0,0,0,0,0,0,1
1,338.4870148,270.9828186,123.442955,123.4430408,81.6203773,0,forward,10.41519482,4.089196399,0,0,0,0,0,0,0
1,238.6629295,269.8248196,117.927494,117.9276466,94.34410334,0,forward,13.63007493,14.07379248,1,239,404,338,480,0.802717865,1
1,333.0822754,228.8503647,166.544075,166.5437222,94.1108346,0,forward,10.59661534,-9.703654138,0,0,0,0,0,0,0
1,332.5597382,284.3692875,152.4587631,152.4586487,90.20035863,0,forward,4.176591413,-7.036195922,0,0,0,0,0,0,0
0,0,0,0,0,0,0,forward,13.27032313,13.31317141,1,0,252,110,476,0.836049378,1
1,332.4367523,273.2405949,124.3932724,124.3932152,81.65900111,0,forward,9.793408358,6.172612752,0,0,0,0,0,0,0
1,329.2383957,287.6562881,159.3953323,159.3952847,90.82351327,0,forward,0.790961379,-4.333324103,0,0,0,0,0,0,0
1,205.1424789,238.711853,147.4251175,147.4252224,81.37118816,0,forward,12.91022866,11.74466486,1,0,233,103,480,0.692493856,1
1,324.6817398,281.3737392,123.3072281,123.3069992,78.39234471,0,forward,7.656940801,10.60734347,0,0,0,0,0,0,0
